iter	Passed	Remaining
833	103607	269080
834	103735	268967
835	103849	268815
836	103964	268668
837	104082	268527
838	104204	268399
839	104316	268243
840	104457	268161
841	104585	268047
842	104707	267917
843	104829	267787
844	104967	267697
845	105090	267571
846	105222	267466
847	105349	267349
848	105478	267237
849	105607	267126
850	105733	267006
851	105860	266886
852	105969	266725
853	106093	266601
854	106208	266452
855	106336	266337
856	106461	266217
857	106585	266091
858	106705	265956
859	106827	265826
860	106952	265704
861	107071	265567
862	107191	265431
863	107303	265277
864	107433	265168
865	107560	265051
866	107684	264925
867	107809	264804
868	107932	264677
869	108068	264581
870	108191	264454
871	108310	264317
872	108434	264193
873	108556	264064
874	108681	263941
875	108810	263828
876	108926	263683
877	109050	263558
878	109181	263451
879	109311	263342
880	109441	263230
881	109567	263110
882	109703	263015
883	109830	262896
884	109953	262770
885	110077	262645
886	110197	262511
887	110318	262379
888	110448	262268
889	110566	262129
890	110694	262013
891	110822	261898
892	110952	261787
893	111072	261653
894	111188	261511
895	111318	261399
896	111442	261274
897	111569	261156
898	111689	261022
899	111813	260897
900	111936	260770
901	112062	260651
902	112186	260526
903	112320	260424
904	112447	260305
905	112563	260162
906	112679	260019
907	112816	259925
908	112948	259818
909	113074	259699
910	113201	259580
911	113328	259461
912	113455	259344
913	113579	259219
914	113706	259100
915	113824	258964
916	113958	258860
917	114067	258702
918	114198	258594
919	114318	258459
920	114442	258334
921	114568	258214
922	114688	258080
923	114814	257960
924	114928	257813
925	115074	257737
926	115200	257617
927	115328	257500
928	115462	257398
929	115594	257290
930	115721	257172
931	115853	257064
932	115980	256946
933	116107	256829
934	116222	256683
935	116352	256572
936	116494	256485
937	116610	256344
938	116722	256191
939	116850	256076
940	116999	256006
941	117125	255885
942	117205	255664
943	117319	255517
944	117447	255402
945	117565	255262
946	117699	255161
947	117828	255046
948	117965	254948
949	118090	254827
950	118219	254712
951	118340	254581
952	118476	254482
953	118602	254361
954	118730	254245
955	118857	254126
956	118982	254003
957	119109	253885
958	119224	253739
959	119350	253619
960	119472	253491
961	119592	253357
962	119718	253235
963	119845	253117
964	119979	253014
965	120096	252873
966	120223	252755
967	120354	252645
968	120476	252515
969	120601	252392
970	120730	252278
971	120860	252166
972	120983	252037
973	121102	251902
974	121216	251758
975	121323	251596
976	121454	251486
977	121580	251366
978	121712	251256
979	121844	251148
980	121962	251012
981	122086	250885
982	122218	250777
983	122353	250675
984	122477	250551
985	122601	250425
986	122731	250313
987	122850	250176
988	122967	250038
989	123097	249925
990	123214	249787
991	123337	249659
992	123456	249523
993	123572	249383
994	123691	249246
995	123816	249124
996	123947	249013
997	124069	248884
998	124179	248732
999	124309	248618
1000	124427	248483
1001	124554	248362
1002	124674	248230
1003	124795	248099
1004	124909	247954
1005	125032	247827
1006	125160	247711
1007	125260	247538
1008	125386	247418
1009	125505	247283
1010	125641	247182
1011	125776	247079
1012	125893	246939
1013	126026	246832
1014	126134	246676
1015	126267	246569
